N;Instance;Decoder;Total Distance;Time Spent;Alpha
N10;51;PositionalDecoderWithVehicleByPercentage;939,18;222,63;Alpha2
N10;51;PositionalDecoderWithVehicleByPercentage;874,30;223,46;Alpha2
N10;51;PositionalDecoderWithVehicleByPercentage;924,61;204,23;Alpha2
N10;51;PositionalDecoderWithVehicleByPercentage;973,31;204,23;Alpha2
N10;51;PositionalDecoderWithVehicleByPercentage;997,52;223,25;Alpha2
N10;51;PositionalDecoderWithVehicleByPercentage;957,36;222,63;Alpha2
N10;51;PositionalDecoderWithVehicleByPercentage;973,31;204,23;Alpha2
N10;51;PositionalDecoderWithVehicleByPercentage;891,45;222,63;Alpha2
N10;51;PositionalDecoderWithVehicleByPercentage;988,35;204,23;Alpha2
N10;51;PositionalDecoderWithVehicleByPercentage;925,71;222,63;Alpha2
N10;51;TimeDecoderWithVehicleByPercentage;978,01;204,23;Alpha2
N10;51;TimeDecoderWithVehicleByPercentage;973,23;204,23;Alpha2
N10;51;TimeDecoderWithVehicleByPercentage;972,05;204,23;Alpha2
N10;51;TimeDecoderWithVehicleByPercentage;1040,31;222,63;Alpha2
N10;51;TimeDecoderWithVehicleByPercentage;1012,82;204,23;Alpha2
N10;51;TimeDecoderWithVehicleByPercentage;984,69;222,63;Alpha2
N10;51;TimeDecoderWithVehicleByPercentage;1013,84;222,63;Alpha2
N10;51;TimeDecoderWithVehicleByPercentage;1014,67;204,23;Alpha2
N10;51;TimeDecoderWithVehicleByPercentage;948,07;204,23;Alpha2
N10;51;TimeDecoderWithVehicleByPercentage;913,67;222,63;Alpha2
N10;57;PositionalDecoderWithVehicleByPercentage;820,95;66,81;Alpha2
N10;57;PositionalDecoderWithVehicleByPercentage;809,32;66,81;Alpha2
N10;57;PositionalDecoderWithVehicleByPercentage;805,73;66,81;Alpha2
N10;57;PositionalDecoderWithVehicleByPercentage;816,55;66,81;Alpha2
N10;57;PositionalDecoderWithVehicleByPercentage;806,16;66,81;Alpha2
