N;Instance;Decoder;Time Spent;Alpha
N010;51;PositionalDecoderWithVehicleByPercentage;222,63;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;223,25;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;223,25;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;223,46;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;222,63;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;226,91;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;204,23;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;204,23;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;228,73;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;204,23;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;164,92;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;164,92;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;164,92;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;164,92;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;202,96;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;202,96;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;115,86;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;115,86;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;115,86;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;115,86;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;115,86;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;179,38;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;142,21;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;185,12;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;190,56;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;179,38;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;142,21;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;179,38;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;142,21;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;179,38;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;124,95;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;80,83;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;101,47;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;80,83;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;93,56;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;80,83;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;80,83;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;80,83;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;85,50;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;93,56;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;85,50;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;136,31;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;136,31;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;136,31;Alpha1
