N;Instance;Decoder;Total Distance;Time Spent;Alpha
N010;53;PositionalDecoderWithVehicleByPercentage;705,45;80,83;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;723,82;80,83;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;705,45;80,83;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;717,14;80,83;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;715,36;80,83;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;701,05;80,83;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;686,90;80,83;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;705,45;80,83;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;715,38;80,83;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;717,39;80,83;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;709,62;80,83;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;714,30;80,83;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;711,15;80,83;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;692,43;80,83;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;715,39;80,83;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;723,59;85,50;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;726,39;80,83;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;724,68;80,83;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;713,31;80,83;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;711,53;80,83;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;975,59;182,37;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;988,39;182,37;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;1024,75;182,37;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;1073,73;182,37;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;1073,73;182,37;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;983,49;182,37;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;984,82;240,85;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;931,12;182,37;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;1038,73;194,83;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;953,48;182,37;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;1058,14;194,83;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;983,49;182,37;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;938,92;182,37;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;939,46;182,37;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;1056,26;182,37;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;1032,37;182,37;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;1048,25;182,37;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;934,63;240,85;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;992,81;182,37;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;1007,51;182,37;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;808,33;66,81;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;816,55;66,81;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;805,92;66,81;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;815,54;66,81;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;807,99;66,81;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;815,65;66,81;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;808,99;66,81;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;813,14;66,81;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;806,10;66,81;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;811,32;66,81;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;820,83;66,81;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;805,71;66,81;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;817,58;66,81;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;806,78;66,81;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;805,90;66,81;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;803,72;66,81;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;819,52;66,81;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;813,22;66,81;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;816,73;66,81;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;808,99;66,81;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;973,31;204,23;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;900,30;222,63;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;966,43;222,63;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;831,91;223,46;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;800,76;226,91;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;875,07;222,63;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;983,03;204,23;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;1016,22;204,23;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;1005,02;204,23;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;996,69;204,23;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;1008,42;204,23;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;928,60;222,63;Alpha1
