N;Instance;Decoder;Time Spent;Alpha
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;621,05;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;659,18;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;651,75;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;621,05;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;621,05;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;582,59;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;582,59;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;658,88;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;582,59;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;582,51;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;679,42;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;630,78;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;619,23;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;675,94;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;634,85;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;726,92;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;726,38;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;719,41;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;766,91;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;711,28;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;817,70;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;817,70;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;769,03;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;623,14;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;623,14;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;623,14;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;623,14;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;486,67;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;492,12;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;489,54;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;554,69;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;489,54;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;686,34;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;702,98;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;723,72;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;723,72;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;723,40;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,87;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,87;Alpha1
