N;Instance;Decoder;Time Spent;Alpha
N010;53;PositionalDecoderWithVehicleByPercentage;410,62;Alpha3
N010;53;PositionalDecoderWithVehicleByPercentage;412,22;Alpha3
N010;53;PositionalDecoderWithVehicleByPercentage;409,40;Alpha3
N010;53;PositionalDecoderWithVehicleByPercentage;436,87;Alpha3
N010;53;PositionalDecoderWithVehicleByPercentage;409,40;Alpha3
N010;53;TimeDecoderWithVehicleByPercentage;376,37;Alpha3
N010;53;TimeDecoderWithVehicleByPercentage;420,84;Alpha3
N010;53;TimeDecoderWithVehicleByPercentage;376,37;Alpha3
N010;53;TimeDecoderWithVehicleByPercentage;398,19;Alpha3
N010;53;TimeDecoderWithVehicleByPercentage;392,23;Alpha3
N010;56;PositionalDecoderWithVehicleByPercentage;404,20;Alpha3
N010;56;PositionalDecoderWithVehicleByPercentage;405,65;Alpha3
N010;56;PositionalDecoderWithVehicleByPercentage;405,65;Alpha3
N010;56;PositionalDecoderWithVehicleByPercentage;404,17;Alpha3
N010;56;PositionalDecoderWithVehicleByPercentage;404,20;Alpha3
N010;56;TimeDecoderWithVehicleByPercentage;404,20;Alpha3
N010;56;TimeDecoderWithVehicleByPercentage;404,20;Alpha3
N010;56;TimeDecoderWithVehicleByPercentage;405,48;Alpha3
N010;56;TimeDecoderWithVehicleByPercentage;404,17;Alpha3
N010;56;TimeDecoderWithVehicleByPercentage;405,48;Alpha3
N010;51;PositionalDecoderWithVehicleByPercentage;355,92;Alpha3
N010;51;PositionalDecoderWithVehicleByPercentage;357,47;Alpha3
N010;51;PositionalDecoderWithVehicleByPercentage;360,35;Alpha3
N010;51;PositionalDecoderWithVehicleByPercentage;360,35;Alpha3
N010;51;PositionalDecoderWithVehicleByPercentage;359,07;Alpha3
N010;51;TimeDecoderWithVehicleByPercentage;355,92;Alpha3
N010;51;TimeDecoderWithVehicleByPercentage;352,86;Alpha3
N010;51;TimeDecoderWithVehicleByPercentage;356,98;Alpha3
N010;51;TimeDecoderWithVehicleByPercentage;356,98;Alpha3
N010;51;TimeDecoderWithVehicleByPercentage;356,98;Alpha3
N010;52;PositionalDecoderWithVehicleByPercentage;351,15;Alpha3
N010;52;PositionalDecoderWithVehicleByPercentage;347,99;Alpha3
N010;52;PositionalDecoderWithVehicleByPercentage;347,99;Alpha3
N010;52;PositionalDecoderWithVehicleByPercentage;347,99;Alpha3
N010;52;PositionalDecoderWithVehicleByPercentage;347,99;Alpha3
N010;52;TimeDecoderWithVehicleByPercentage;345,95;Alpha3
N010;52;TimeDecoderWithVehicleByPercentage;347,99;Alpha3
N010;52;TimeDecoderWithVehicleByPercentage;347,99;Alpha3
N010;52;TimeDecoderWithVehicleByPercentage;320,32;Alpha3
N010;52;TimeDecoderWithVehicleByPercentage;347,99;Alpha3
N010;54;PositionalDecoderWithVehicleByPercentage;417,32;Alpha3
N010;54;PositionalDecoderWithVehicleByPercentage;398,24;Alpha3
N010;54;PositionalDecoderWithVehicleByPercentage;398,24;Alpha3
N010;54;PositionalDecoderWithVehicleByPercentage;417,32;Alpha3
N010;54;PositionalDecoderWithVehicleByPercentage;398,24;Alpha3
N010;54;TimeDecoderWithVehicleByPercentage;381,59;Alpha3
N010;54;TimeDecoderWithVehicleByPercentage;381,59;Alpha3
N010;54;TimeDecoderWithVehicleByPercentage;417,32;Alpha3
N010;54;TimeDecoderWithVehicleByPercentage;417,32;Alpha3
N010;54;TimeDecoderWithVehicleByPercentage;417,32;Alpha3
N010;55;PositionalDecoderWithVehicleByPercentage;492,64;Alpha3
N010;55;PositionalDecoderWithVehicleByPercentage;476,76;Alpha3
N010;55;PositionalDecoderWithVehicleByPercentage;489,69;Alpha3
N010;55;PositionalDecoderWithVehicleByPercentage;479,79;Alpha3
N010;55;PositionalDecoderWithVehicleByPercentage;464,16;Alpha3
N010;55;TimeDecoderWithVehicleByPercentage;438,63;Alpha3
N010;55;TimeDecoderWithVehicleByPercentage;491,23;Alpha3
N010;55;TimeDecoderWithVehicleByPercentage;484,72;Alpha3
N010;55;TimeDecoderWithVehicleByPercentage;463,86;Alpha3
N010;55;TimeDecoderWithVehicleByPercentage;453,66;Alpha3
N010;57;PositionalDecoderWithVehicleByPercentage;394,83;Alpha3
N010;57;PositionalDecoderWithVehicleByPercentage;393,57;Alpha3
N010;57;PositionalDecoderWithVehicleByPercentage;394,62;Alpha3
N010;57;PositionalDecoderWithVehicleByPercentage;386,24;Alpha3
N010;57;PositionalDecoderWithVehicleByPercentage;390,86;Alpha3
N010;57;TimeDecoderWithVehicleByPercentage;335,22;Alpha3
N010;57;TimeDecoderWithVehicleByPercentage;324,58;Alpha3
N010;57;TimeDecoderWithVehicleByPercentage;326,06;Alpha3
N010;57;TimeDecoderWithVehicleByPercentage;349,67;Alpha3
N010;57;TimeDecoderWithVehicleByPercentage;349,67;Alpha3
N010;58;PositionalDecoderWithVehicleByPercentage;423,42;Alpha3
