N;Instance;Decoder;Time Spent;Alpha
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;358,81;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;359,55;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;400,11;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;330,21;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;392,29;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;532,21;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;532,21;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;532,21;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;532,21;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;532,21;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;472,05;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;455,24;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;458,78;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;480,40;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;449,87;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;398,00;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;398,00;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;398,00;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;398,00;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;398,00;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;350,09;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;354,14;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;379,81;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;359,65;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;350,09;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;383,74;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;383,74;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;394,58;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;383,74;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;383,74;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;284,17;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;278,38;Alpha1
